bibkey,title,year,type,venue,doi,openalex_id,cited_by,abstract,concepts,oa_topics,class,subsection,class_score,offtopic_score,margin,relevant
Breitenstein2021CornerApproaches,Corner Cases for Visual Perception in Automated Driving: Some Guidance on Detection Approaches,2021,article,,,W3126968893,17,"Automated driving has become a major topic of interest not only in the active research community but also in mainstream media reports. Visual perception of such intelligent vehicles has experienced large progress in the last decade thanks to advances in deep learning techniques but some challenges still remain. One such challenge is the detection of corner cases. They are unexpected and unknown situations that occur while driving. Conventional visual perception methods are often not able to detect them because corner cases have not been witnessed during training. Hence, their detection is highly safety-critical, and detection methods can be applied to vast amounts of collected data to select suitable training data. A reliable detection of corner cases will not only further automate the data selection procedure and increase safety in autonomous driving but can thereby also affect the public acceptance of the new technology in a positive manner. In this work, we continue a previous systematization of corner cases on different levels by an extended set of examples for each level. Moreover, we group detection approaches into different categories and link them with the corner case levels. Hence, we give directions to showcase specific corner cases and basic guidelines on how to technically detect them.",Perception; Computer science; Set (abstract data type); Artificial intelligence; Mainstream; Selection (genetic algorithm); Data science; Human–computer interaction,Advanced Neural Network Applications; Autonomous Vehicle Technology and Safety; Industrial Vision Systems and Defect Detection,Perception-related,Feature and Activation Extraction,0.5635,0.4421,0.1214,True
Zhou2023CornerSolutions,"Corner Cases in Data-Driven Automated Driving: Definitions, Properties and Solutions",2023,inproceedings,IEEE Intelligent Vehicles Symposium (IV),10.1109/iv55152.2023.10186558,W4385356253,12,"The field of validation and artificial intelligence (AI) for automated driving has been a rapidly emerging field of research and development in the last few years. Despite the enormous success of machine learning (ML) in perception and robotics, the capability of ML-supported automated driving functions remains to be proven in complex real-world scenarios. Due to stringent regulations and safety concerns, it is crucial to not only be able to identify critical driving events, the corner cases, but also to eliminate them in advance by systematic and provable processes. In contrast to previous work, we analyze and systematize the causes of corner cases from the perspective of neural network interpretation, and consider the network’s performance and robustness in relation to the availability of data points used during development and validation. Moreover, we demonstrate the proposed taxonomy of corner cases on real data from multiple sensor input sources, including images and LiDAR point clouds, showing relevant properties of various corner cases. Furthermore, we discuss the possible solutions dealing with previously unknown classes and driving environments as required in future automated driving use cases.",Robustness (evolution); Computer science; Artificial intelligence; Robotics; Field (mathematics); Point cloud; Artificial neural network; Taxonomy (biology); Machine learning; Robot,Advanced Neural Network Applications; Autonomous Vehicle Technology and Safety; Adversarial Robustness in Machine Learning,Trajectory-related,Machine Learning (trajectory),0.5576,0.5528,0.0048,True
Madden2021Coyote:Vehicles,Coyote: A Dataset of Challenging Scenarios in Visual Perception for Autonomous Vehicles,2021,article,,,W3196712506,0,,Perception; Computer science; Artificial intelligence; Computer vision; Human–computer interaction,Adversarial Robustness in Machine Learning; Advanced Neural Network Applications; Domain Adaptation and Few-Shot Learning,Trajectory-related,Challenging the System Under Test,0.4373,0.3812,0.056,True
Koopman2019CredibleArgumentation,Credible autonomy safety argumentation,2019,inproceedings,27th Safety-Critical Systems Symposium,,W7125637341,0,"A significant challenge to deploying mission- and safety-critical autonomous systems is the difficulty of creating a credible assurance argument. This paper collects lessons learned from having observed both credible and faulty assurance argumentation attempts, with a primary emphasis on autonomous ground vehicle safety cases. Various common argumentation approaches are described, including conformance to a non-autonomy safety standard, proven in use, field testing, simulation, and formal verification. Of particular note are argumentation faults and anti-patterns that have shown up in numerous safety cases that we have encountered. These observations can help both designers and auditors detect common mistakes in safety argumentation for autonomous systems",Argumentation theory; Audit; Autonomy; Computer science; Field (mathematics); Risk analysis (engineering); Engineering ethics; Computer security; Safety assurance; Common ground; Safety case,Safety Systems Engineering in Autonomy; Formal Methods in Verification; Autonomous Vehicle Technology and Safety,Trajectory-related,Challenging the System Under Test,0.5947,0.2799,0.3148,True
Zong2018DeepDetection,Deep autoencoding gaussian mixture model for unsupervised anomaly detection,2018,inproceedings,International conference on learning representations,,W2786088545,1090,"Unsupervised anomaly detection on multi- or high-dimensional data is of great importance in both fundamental machine learning research and industrial applications, for which density estimation lies at the core. Although previous approaches based on dimensionality reduction followed by density estimation have made fruitful progress, they mainly suffer from decoupled model learning with inconsistent optimization goals and incapability of preserving essential information in the low-dimensional space. In this paper, we present a Deep Autoencoding Gaussian Mixture Model (DAGMM) for unsupervised anomaly detection. Our model utilizes a deep autoencoder to generate a low-dimensional representation and reconstruction error for each input data point, which is further fed into a Gaussian Mixture Model (GMM). Instead of using decoupled two-stage training and the standard Expectation-Maximization (EM) algorithm, DAGMM jointly optimizes the parameters of the deep autoencoder and the mixture model simultaneously in an end-to-end fashion, leveraging a separate estimation network to facilitate the parameter learning of the mixture model. The joint optimization, which well balances autoencoding reconstruction, density estimation of latent representation, and regularization, helps the autoencoder escape from less attractive local optima and further reduce reconstruction errors, avoiding the need of pre-training. Experimental results on several public benchmark datasets show that, DAGMM significantly outperforms state-of-the-art anomaly detection techniques, and achieves up to 14% improvement based on the standard F1 score.",Autoencoder; Anomaly detection; Computer science; Artificial intelligence; Mixture model; Pattern recognition (psychology); Dimensionality reduction; Unsupervised learning; Benchmark (surveying); Deep learning; Machine learning,Anomaly Detection Techniques and Applications; Network Security and Intrusion Detection; Advanced Chemical Sensor Technologies,Perception-related,Feature and Activation Extraction,0.4753,0.2746,0.2006,True
Ruff2019DeepDetection,Deep Semi-Supervised Anomaly Detection,2019,inproceedings,International Conference on Learning Representations,,W2948079128,31,"Deep approaches to anomaly detection have recently shown promising results over shallow methods on large and complex datasets. Typically anomaly detection is treated as an unsupervised learning problem. In practice however, one may have---in addition to a large set of unlabeled samples---access to a small pool of labeled samples, e.g. a subset verified by some domain expert as being normal or anomalous. Semi-supervised approaches to anomaly detection aim to utilize such labeled samples, but most proposed methods are limited to merely including labeled normal samples. Only a few methods take advantage of labeled anomalies, with existing deep approaches being domain-specific. In this work we present Deep SAD, an end-to-end deep methodology for general semi-supervised anomaly detection. We further introduce an information-theoretic framework for deep anomaly detection based on the idea that the entropy of the latent distribution for normal data should be lower than the entropy of the anomalous distribution, which can serve as a theoretical interpretation for our method. In extensive experiments on MNIST, Fashion-MNIST, and CIFAR-10, along with other anomaly detection benchmark datasets, we demonstrate that our method is on par or outperforms shallow, hybrid, and deep competitors, yielding appreciable performance improvements even when provided with only little labeled data.",MNIST database; Anomaly detection; Artificial intelligence; Computer science; Benchmark (surveying); Pattern recognition (psychology); Anomaly (physics); Deep learning; Entropy (arrow of time); Set (abstract data type); Machine learning,Anomaly Detection Techniques and Applications; Network Security and Intrusion Detection; Data-Driven Disease Surveillance,Perception-related,Feature and Activation Extraction,0.4659,0.2504,0.2155,True
Braiek2019Deepevolution:Networks,Deepevolution: A search-based testing approach for deep neural networks,2019,inproceedings,2019 IEEE International Conference on Software Maintenance and Evolution (ICSME),,W2994150880,31,"The increasing inclusion of Deep Learning (DL) models in safety-critical systems such as autonomous vehicles have led to the development of multiple model-based DL testing techniques. One common denominator of these testing techniques is the automated generation of test cases, e.g., new inputs transformed from the original training data with the aim to optimize some test adequacy criteria. So far, the effectiveness of these approaches has been hindered by their reliance on random fuzzing or transformations that do not always produce test cases with a good diversity. To overcome these limitations, we propose, DeepEvolution, a novel search-based approach for testing DL models that relies on metaheuristics to ensure a maximum diversity in generated test cases. We assess the effectiveness of DeepEvolution in testing computer-vision DL models and found that it significantly increases the neuronal coverage of generated test cases. Moreover, using DeepEvolution, we could successfully find several corner-case behaviors. Finally, DeepEvolution outperformed Tensorfuzz (a coverage-guided fuzzing tool developed at Google Brain) in detecting latent defects introduced during the quantization of the models. These results suggest that search-based approaches can help build effective testing tools for DL systems.",Fuzz testing; Computer science; Machine learning; Artificial intelligence; Code coverage; Random testing; Model-based testing; Artificial neural network; Test case; Test strategy; Data mining,Adversarial Robustness in Machine Learning; Advanced Neural Network Applications; Software Testing and Debugging Techniques,Trajectory-related,Challenging the System Under Test,0.5904,0.3229,0.2675,True
Ma2018DeepGauge:Systems,DeepGauge: multi-granularity testing criteria for deep learning systems,2018,inproceedings,33rd ACM/IEEE International Conference on Automated Software Engineering,10.1145/3238147.3238202,W2804337238,570,"Deep learning (DL) defines a new data-driven programming paradigm that constructs the internal system logic of a crafted neuron network through a set of training data. We have seen wide adoption of DL in many safety-critical scenarios. However, a plethora of studies have shown that the state-of-the-art DL systems suffer from various vulnerabilities which can lead to severe consequences when applied to real-world applications. Currently, the testing adequacy of a DL system is usually measured by the accuracy of test data. Considering the limitation of accessible high quality test data, good accuracy performance on test data can hardly provide confidence to the testing adequacy and generality of DL systems. Unlike traditional software systems that have clear and controllable logic and functionality, the lack of interpretability in a DL system makes system analysis and defect detection difficult, which could potentially hinder its real-world deployment. In this paper, we propose DeepGauge, a set of multi-granularity testing criteria for DL systems, which aims at rendering a multi-faceted portrayal of the testbed. The in-depth evaluation of our proposed testing criteria is demonstrated on two well-known datasets, five DL systems, and with four state-of-the-art adversarial attack techniques against DL. The potential usefulness of DeepGauge sheds light on the construction of more generic and robust DL systems.",Interpretability; Computer science; Generality; Artificial intelligence; Machine learning; Deep learning; Set (abstract data type); Test set; System testing; Data mining; System under test; Rendering (computer graphics); Artificial neural network; Adversarial system; Test (biology); Software; White-box testing; Software system; Quality (philosophy),Adversarial Robustness in Machine Learning; Software Testing and Debugging Techniques; Advanced Malware Detection Techniques,Trajectory-related,Challenging the System Under Test,0.4411,0.2108,0.2303,True
Zhang2018Deeproad:Systems,Deeproad: Gan-based metamorphic testing and input validation framework for autonomous driving systems,2018,inproceedings,Proceedings of the 33rd ACM/IEEE International Conference on Automated Software Engineering,,W2888307014,595,"While Deep Neural Networks (DNNs) have established the fundamentals of image-based autonomous driving systems, they may exhibit erroneous behaviors and cause fatal accidents. To address the safety issues in autonomous driving systems, a recent set of testing techniques have been designed to automatically generate artificial driving scenes to enrich test suite, e.g., generating new input images transformed from the original ones. However, these techniques are insufficient due to two limitations: first, many such synthetic images often lack diversity of driving scenes, and hence compromise the resulting efficacy and reliability. Second, for machine-learning-based systems, a mismatch between training and application domain can dramatically degrade system accuracy, such that it is necessary to validate inputs for improving system robustness.",Robustness (evolution); Computer science; Artificial intelligence; Suite; Test suite; Reliability (semiconductor); Deep learning; Deep neural networks; Artificial neural network; Set (abstract data type); Domain (mathematical analysis); Machine learning; Reliability engineering,Adversarial Robustness in Machine Learning; Advanced Neural Network Applications; Generative Adversarial Networks and Image Synthesis,Trajectory-related,Challenging the System Under Test,0.5985,0.4345,0.164,True
Bevandic2021DenseImages,Dense outlier detection and open-set recognition based on training with noisy negative images,2021,article,arXiv preprint arXiv:2101.09193,,W3122923658,11,"Deep convolutional models often produce inadequate predictions for inputs foreign to the training distribution. Consequently, the problem of detecting outlier images has recently been receiving a lot of attention. Unlike most previous work, we address this problem in the dense prediction context in order to be able to locate outlier objects in front of in-distribution background. Our approach is based on two reasonable assumptions. First, we assume that the inlier dataset is related to some narrow application field (e.g.~road driving). Second, we assume that there exists a general-purpose dataset which is much more diverse than the inlier dataset (e.g.~ImageNet-1k). We consider pixels from the general-purpose dataset as noisy negative training samples since most (but not all) of them are outliers. We encourage the model to recognize borders between known and unknown by pasting jittered negative patches over inlier training images. Our experiments target two dense open-set recognition benchmarks (WildDash 1 and Fishyscapes) and one dense open-set recognition dataset (StreetHazard). Extensive performance evaluation indicates competitive potential of the proposed approach.",Outlier; Computer science; Artificial intelligence; Pattern recognition (psychology); Context (archaeology); Set (abstract data type); Open set; Anomaly detection; Field (mathematics); Training (meteorology); Pixel; Image (mathematics); Training set,Anomaly Detection Techniques and Applications; Adversarial Robustness in Machine Learning; Domain Adaptation and Few-Shot Learning,Perception-related,Feature and Activation Extraction,0.5256,0.318,0.2076,True
Grcic2022Densehybrid:Recognition,Densehybrid: Hybrid anomaly detection for dense open-set recognition,2022,inproceedings,European Conference on Computer Vision,,W4312601785,56,,Computer science; Anomaly detection; Discriminative model; Open set; Anomaly (physics); Artificial intelligence; Overhead (engineering); Segmentation; Pattern recognition (psychology); Set (abstract data type); Metric (unit); Logarithm; Algorithm,Anomaly Detection Techniques and Applications; Domain Adaptation and Few-Shot Learning; Adversarial Robustness in Machine Learning,Perception-related,Feature and Activation Extraction,0.4172,0.2742,0.1431,True
Cai2020DetectingRegression,Detecting Adversarial Examples in Learning-Enabled Cyber-Physical Systems using Variational Autoencoder for Regression,2020,inproceedings,"2020 IEEE Security and Privacy Workshops, SP Workshops, San Francisco, CA, USA, May 21, 2020",10.1109/spw50608.2020.00050,W3115028727,14,"Learning-enabled components (LECs) are widely used in cyber-physical systems (CPS) since they can handle the uncertainty and variability of the environment and increase the level of autonomy. However, it has been shown that LECs such as deep neural networks (DNN) are not robust and adversarial examples can cause the model to make a false prediction. The paper considers the problem of efficiently detecting adversarial examples in LECs used for regression in CPS. The proposed approach is based on inductive conformal prediction and uses a regression model based on variational autoencoder. The architecture allows to take into consideration both the input and the neural network prediction for detecting adversarial, and more generally, out-of-distribution examples. We demonstrate the method using an advanced emergency braking system implemented in an open source simulator for self-driving cars where a DNN is used to estimate the distance to an obstacle. The simulation results show that the method can effectively detect adversarial examples with a short detection delay.",Autoencoder; Computer science; Adversarial system; Artificial intelligence; Obstacle; Deep learning; Artificial neural network; Machine learning,Adversarial Robustness in Machine Learning; Anomaly Detection Techniques and Applications; Advanced Malware Detection Techniques,Trajectory-related,Challenging the System Under Test,0.4528,0.4337,0.0191,True
Ryu2018DetectingTracking,Detecting ghost targets using multilayer perceptron in multiple-target tracking,2018,article,Symmetry,,W2782189190,18,"This paper deals with a method for removing a ghost target that is not a real object from the output of a multiple object-tracking algorithm. This method uses an artificial neural network (multilayer perceptron) and introduces a structure, learning, verification, and evaluation method for the artificial neural network. The implemented system was tested at an intersection in a city center. Results from a 28-min measurement were 88% accurate when the multilayer perceptron for ghost target classification successfully detected the ghost targets, and 6.7% inaccurate when ghost targets were mistaken for actual targets. This method is expected to contribute to the advancement of intelligent transportation systems if the weaknesses revealed during the evaluation of the system are complemented and refined.",Artificial intelligence; Computer science; Intersection (aeronautics); Artificial neural network; Perceptron; Pattern recognition (psychology); Multilayer perceptron; Tracking (education); Object (grammar); Computer vision; Interference (communication),Target Tracking and Data Fusion in Sensor Networks; Traffic Prediction and Management Techniques; Spectroscopy and Laser Applications,Perception-related,Probability and Confidence Scores,0.316,0.2856,0.0304,True
Xiao2022DetectingSystems,Detecting Hazardous Events: A Framework for Automated Vehicle Safety Systems,2022,article,"IEEE Conference on Intelligent Transportation Systems, Proceedings, ITSC",10.1109/itsc55140.2022.9921988,W4308079985,13,"The driving domain is inherently dangerous. To develop connected and automated vehicles that can detect potential sources of harm, we must clearly define these hazardous events and metrics to detect them. The majority of driving scenarios we face do not materialise harm, but we often face potentially hazardous near-miss scenarios. Potential harm is difficult to quantify when harm is not materialised; thus, few metrics detect these scenarios in the absence of collision and even fewer datasets label non-collision-based hazardous events. This study focuses on detecting near-miss scenarios due to other actors since human error is the primary source of harm. We first provide a concise overview of current event-specific metrics. We then propose an event-agnostic detection framework that exploits vehicle kinematics to detect evasive manoeuvres early and dynamically calculate minimum safe distances. Given inconsistent dataset labelling methods and collision-focused events, we provide a preliminary study to demonstrate an event-agnostic and configurable dataset annotation technique to label hazardous events, even when harm is not materialised. We show promising results detecting hazardous scenes on a labelled simulation benchmark, GTACrash.",Hazardous waste; Computer science; Benchmark (surveying); Event (particle physics); Harm; Face (sociological concept); Collision; Collision avoidance; Data mining; Artificial intelligence; Computer security,Autonomous Vehicle Technology and Safety; Anomaly Detection Techniques and Applications; Human-Automation Interaction and Safety,Trajectory-related,Surrogate Safety Metrics,0.5494,0.3445,0.2049,True
Sastry2020DetectingMatrices,Detecting Out-of-Distribution Examples with Gram Matrices,2020,inproceedings,"Proceedings of the 37th International Conference on Machine Learning, ICML 2020, 13-18 July 2020, Virtual Event",,W3034370310,68,,Gram; Computer science; n-gram; Distribution (mathematics),Neural Networks and Applications; Anomaly Detection Techniques and Applications; Machine Learning and Algorithms,Perception-related,Feature and Activation Extraction,0.2542,0.1834,0.0708,True
Adal2018DetectingEvaluation,Detecting road lanes under extreme conditions: A quantitative performance evaluation,2018,inproceedings,2018 6th International Conference on Control Engineering {\&} Information Technology (CEIT),,W2953831280,3,"Vehicle autonomy definitionally is the act of processing information gathered from the environment and acting on the decisions formed based on this information. Therefore, any autonomous paradigm can only perform as good as the quality of the information it can understand. Lane identification forms the foundation of many of the autonomous drive and driver-assist technologies. However, current methods are not always reliable, especially under the edge-cases. In this paper, we have experimentally evaluated and extended the state-of-the-art deterministic lane detection methods. Our evaluation provides experimental evidence towards their efficacy in extreme cases: real-data with sharp shadows and varying lighting that is recorded through a camera that has a limited field of view. Experimental results suggest that a method that builds similarly to human perception performs better-with an increase of 32% in its accuracy. Our hypothesis is that autonomous vehicles that can perform even under these extreme conditions will play an important role on the fully autonomous systems.",Computer science; Identification (biology); Field (mathematics); Perception; Enhanced Data Rates for GSM Evolution; Artificial intelligence; Quality (philosophy); Exploit; Human–computer interaction; Computer vision; Real-time computing,Autonomous Vehicle Technology and Safety; Video Surveillance and Tracking Methods; Remote Sensing and LiDAR Applications,Trajectory-related,Machine Learning (trajectory),0.4168,0.3972,0.0196,True
Lis2019DetectingResynthesis,Detecting the unexpected via image resynthesis,2019,inproceedings,Proceedings of the IEEE/CVF International Conference on Computer Vision,,W2936458714,12,"Classical semantic segmentation methods, including the recent deep learning ones, assume that all classes observed at test time have been seen during training. In this paper, we tackle the more realistic scenario where unexpected objects of unknown classes can appear at test time. The main trends in this area either leverage the notion of prediction uncertainty to flag the regions with low confidence as unknown, or rely on autoencoders and highlight poorly-decoded regions. Having observed that, in both cases, the detected regions typically do not correspond to unexpected objects, in this paper, we introduce a drastically different strategy: It relies on the intuition that the network will produce spurious labels in regions depicting unexpected objects. Therefore, resynthesizing the image from the resulting semantic map will yield significant appearance differences with respect to the input image. In other words, we translate the problem of detecting unknown classes to one of identifying poorly-resynthesized image regions. We show that this outperforms both uncertainty- and autoencoder-based methods.",Computer science; Artificial intelligence; Autoencoder; Spurious relationship; Leverage (statistics); Intuition; Segmentation; Image (mathematics); Pattern recognition (psychology); Machine learning; Deep learning,Anomaly Detection Techniques and Applications; Adversarial Robustness in Machine Learning; Domain Adaptation and Few-Shot Learning,Perception-related,Foundation Model and Adaptive Learning,0.4851,0.2389,0.2462,True
Olber2023DetectionPatterns,Detection of Out-of-Distribution Samples Using Binary Neuron Activation Patterns,2023,inproceedings,"IEEE CVF Conference on Computer Vision and Pattern Recognition, CVPR 2023, Vancouver, BC, Canada, June 17-24, 2023",10.1109/cvpr52729.2023.00329,W4386075790,14,"Deep neural networks (DNN) have outstanding performance in various applications. Despite numerous efforts of the research community, out-of-distribution (OOD) samples remain a significant limitation of DNN classifiers. The ability to identify previously unseen inputs as novel is crucial in safety-critical applications such as self-driving cars, unmanned aerial vehicles, and robots. Existing approaches to detect OOD samples treat a DNN as a black box and evaluate the confidence score of the output predictions. Unfortunately, this method frequently fails, because DNNs are not trained to reduce their confidence for OOD inputs. In this work, we introduce a novel method for OOD detection. Our method is motivated by theoretical analysis of neuron activation patterns (NAP) in ReLU-based architectures. The proposed method does not introduce a high computational overhead due to the binary representation of the activation patterns extracted from convolutional layers. The extensive empirical evaluation proves its high performance on various DNN architectures and seven image datasets.",Computer science; Binary number; Overhead (engineering); Artificial intelligence; Convolutional neural network; Representation (politics); Deep neural networks; Artificial neural network; Machine learning; Black box; Pattern recognition (psychology),Adversarial Robustness in Machine Learning; Anomaly Detection Techniques and Applications; Advanced Neural Network Applications,Perception-related,Feature and Activation Extraction,0.442,0.274,0.1681,True
Sun2022DICE:Detection,DICE: Leveraging Sparsification for Out-of-Distribution Detection,2022,inproceedings,"Computer Vision - ECCV 2022: 17th European Conference, Tel Aviv, Israel, October 23-27, 2022, Proceedings, Part XXIV",10.1007/978-3-031-20053-3_40,W4312284582,115,,Dice; Computer science; Artificial intelligence; Pruning; Code (set theory); Variance (accounting); Rank (graph theory); Salient; Machine learning,Anomaly Detection Techniques and Applications; Adversarial Robustness in Machine Learning; Machine Learning and Data Classification,Perception-related,Probability and Confidence Scores,0.2924,0.2533,0.0391,True
Ryerson2019EdgeVehicles,Edge conditions and crash-avoidance roles: The future of traffic safety in the world of autonomous vehicles,2019,article,Injury Prevention,10.1136/injuryprev-2017-042567,W2784963114,11,"Self-driving or highly automated vehicle (HAV) technologies, now undergoing public trials in major cities,1 are positioned to bring about transformative change to the entire transportation system. Far from being a distant innovation, retail autonomous vehicles have already been announced by various manufacturers for release as early as 2018, complementing estimates that on-road HAVs will reach market ubiquity as part of a US$7 trillion passenger economy by 2055.2 Transportation planners and policymakers are welcoming HAVs for their potential to positively impact traffic safety by fundamentally changing the interaction and relationship between drivers and vehicles, and how drivers and vehicles collect and process information from their environment. HAVs will not, however, offer safety in every possible condition. As HAV technology will have limits, manufacturers and lawmakers suggest vehicles have an operational design domain (ODD) which specifies under which conditions an autonomous driving mode can perform safely.3 ODDs may require HAVs to avoid mixed vehicle routes, inclement weather conditions or unmarked roads; in general, ODDs reflect the limits of HAV technologies. In engineering terms, these are known as ‘edge conditions’: situations that go beyond the reliable and accurate capability and limits of HAV technology. The injury prevention community must understand how these edge conditions could lead to crashes in order to formulate crash countermeasures which ultimately inform vehicle development standards and training.

The Haddon Matrix, the long-established safety paradigm for injury prevention, has a rich history of helping those focused on transportation safety explicitly separate roles and responsibilities of all drivers, technologies and environmental factors involved in a crash event.4 A new framework and modification of the Haddon Matrix is needed as man–machine–environment interactions will be facilitated by technology and roles in preventing a crash event will be much more shared. While one could argue that the Haddon Matrix was …",Crash; Transport engineering; Odds; Computer security; Engineering; Process (computing); Poison control; Emerging technologies; Occupational safety and health; Risk analysis (engineering); Business,Autonomous Vehicle Technology and Safety; Traffic and Road Safety; Human-Automation Interaction and Safety,Trajectory-related,Surrogate Safety Metrics,0.5472,0.3817,0.1655,True
Ebadi2021EfficientSVL,Efficient and effective generation of test cases for pedestrian detection-search-based software testing of Baidu Apollo in SVL,2021,inproceedings,2021 IEEE International Conference on Artificial Intelligence Testing (AITest),,W3199951670,0,"With the growing capabilities of autonomous vehicles, there is a higher demand for sophisticated and pragmatic quality assurance approaches for machine learning-enabled systems in the automotive AI context. The use of simulation-based prototyping platforms provides the possibility for early-stage testing, enabling inexpensive testing and the ability to capture critical corner-case test scenarios. Simulation-based testing properly complements conventional on-road testing. However, due to the large space of test input parameters in these systems, the efficient generation of effective test scenarios leading to the unveiling of failures is a challenge. This paper presents a study on testing pedestrian detection and emergency braking system of the Baidu Apollo autonomous driving platform within the SVL simulator. We propose an evolutionary automated test generation technique that generates failure-revealing scenarios for Apollo in the SVL environment. Our approach models the input space using a generic and flexible data structure and benefits a multi-criteria safety-based heuristic for the objective function targeted for optimization. This paper presents the results of our proposed test generation technique in the 2021 IEEE Autonomous Driving AI Test Challenge. In order to demonstrate the efficiency and effectiveness of our approach, we also report the results from a baseline random generation technique. Our evaluation shows that the proposed evolutionary test case generator is more effective at generating failure-revealing test cases and provides higher diversity between the generated failures than the random baseline.",Computer science; Random testing; Context (archaeology); Reliability engineering; Scenario testing; Test case; Software; Heuristic; Simulation; Machine learning; Artificial intelligence,Software Testing and Debugging Techniques; Software Reliability and Analysis Research; Adversarial Robustness in Machine Learning,Trajectory-related,Challenging the System Under Test,0.6873,0.3179,0.3694,True
Ramakrishna2021EfficientSystems,Efficient Out-of-Distribution Detection Using Latent Space of $\beta$ -VAE for Cyber-Physical Systems,2021,article,arXiv preprint arXiv:2108.11800,,W3195576835,3,"Deep Neural Networks are actively being used in the design of autonomous Cyber-Physical Systems (CPSs). The advantage of these models is their ability to handle high-dimensional state-space and learn compact surrogate representations of the operational state spaces. However, the problem is that the sampled observations used for training the model may never cover the entire state space of the physical environment, and as a result, the system will likely operate in conditions that do not belong to the training distribution. These conditions that do not belong to training distribution are referred to as Out-of-Distribution (OOD). Detecting OOD conditions at runtime is critical for the safety of CPS. In addition, it is also desirable to identify the context or the feature(s) that are the source of OOD to select an appropriate control action to mitigate the consequences that may arise because of the OOD condition. In this paper, we study this problem as a multi-labeled time series OOD detection problem over images, where the OOD is defined both sequentially across short time windows (change points) as well as across the training data distribution. A common approach to solving this problem is the use of multi-chained one-class classifiers. However, this approach is expensive for CPSs that have limited computational resources and require short inference times. Our contribution is an approach to design and train a single $\beta$-Variational Autoencoder detector with a partially disentangled latent space sensitive to variations in image features. We use the feature sensitive latent variables in the latent space to detect OOD images and identify the most likely feature(s) responsible for the OOD. We demonstrate our approach using an Autonomous Vehicle in the CARLA simulator and a real-world automotive dataset called nuImages.",Computer science; Autoencoder; Inference; Artificial intelligence; Feature (linguistics); Context (archaeology); Machine learning; Feature vector; State space; Space (punctuation); Data mining; Artificial neural network,Anomaly Detection Techniques and Applications; Fault Detection and Control Systems; Adversarial Robustness in Machine Learning,Perception-related,Feature and Activation Extraction,0.385,0.3271,0.0579,True
Huang2018EfficientVideos,Efficient uncertainty estimation for semantic segmentation in videos,2018,inproceedings,Proceedings of the European Conference on Computer Vision (ECCV),,W2884490794,110,,Dropout (neural networks); Computer science; Artificial intelligence; Segmentation; Frame (networking); Monte Carlo method; Bayesian network; Markov chain Monte Carlo; Bayesian probability; Pixel; Artificial neural network; Deep learning; Machine learning; Data mining,Advanced Neural Network Applications; Adversarial Robustness in Machine Learning; Anomaly Detection Techniques and Applications,Perception-related,Probability and Confidence Scores,0.5449,0.1744,0.3705,True
Liu2020Energy-basedDetection,Energy-based Out-of-distribution Detection,2020,inproceedings,"Advances in Neural Information Processing Systems 33: Annual Conference on Neural Information Processing Systems 2020, NeurIPS 2020, December 6-12, 2020, virtual",,W3092527263,432,"Determining whether inputs are out-of-distribution (OOD) is an essential building block for safely deploying machine learning models in the open world. However, previous methods relying on the softmax confidence score suffer from overconfident posterior distributions for OOD data. We propose a unified framework for OOD detection that uses an energy score. We show that energy scores better distinguish in- and out-of-distribution samples than the traditional approach using the softmax scores. Unlike softmax confidence scores, energy scores are theoretically aligned with the probability density of the inputs and are less susceptible to the overconfidence issue. Within this framework, energy can be flexibly used as a scoring function for any pre-trained neural classifier as well as a trainable cost function to shape the energy surface explicitly for OOD detection. On a CIFAR-10 pre-trained WideResNet, using the energy score reduces the average FPR (at TPR 95%) by 18.03% compared to the softmax confidence score. With energy-based training, our method outperforms the state-of-the-art on common benchmarks.",Softmax function; Overconfidence effect; Confidence interval; Artificial intelligence; Computer science; Energy (signal processing); Classifier (UML); Machine learning; Artificial neural network; Pattern recognition (psychology); Statistics,Adversarial Robustness in Machine Learning; Anomaly Detection Techniques and Applications; Domain Adaptation and Few-Shot Learning,Perception-related,Probability and Confidence Scores,0.3885,0.2478,0.1406,True
Liu2020Energy-basedDetectionb,Energy-based Out-of-distribution Detection,2020,inproceedings,NeurIPS 2020,,W3092527263,432,"Determining whether inputs are out-of-distribution (OOD) is an essential building block for safely deploying machine learning models in the open world. However, previous methods relying on the softmax confidence score suffer from overconfident posterior distributions for OOD data. We propose a unified framework for OOD detection that uses an energy score. We show that energy scores better distinguish in- and out-of-distribution samples than the traditional approach using the softmax scores. Unlike softmax confidence scores, energy scores are theoretically aligned with the probability density of the inputs and are less susceptible to the overconfidence issue. Within this framework, energy can be flexibly used as a scoring function for any pre-trained neural classifier as well as a trainable cost function to shape the energy surface explicitly for OOD detection. On a CIFAR-10 pre-trained WideResNet, using the energy score reduces the average FPR (at TPR 95%) by 18.03% compared to the softmax confidence score. With energy-based training, our method outperforms the state-of-the-art on common benchmarks.",Softmax function; Overconfidence effect; Confidence interval; Artificial intelligence; Computer science; Energy (signal processing); Classifier (UML); Machine learning; Artificial neural network; Pattern recognition (psychology); Statistics,Adversarial Robustness in Machine Learning; Anomaly Detection Techniques and Applications; Domain Adaptation and Few-Shot Learning,Perception-related,Probability and Confidence Scores,0.3885,0.2478,0.1406,True
